timestamp,user_id,endpoint,query_params,response_code,response_size_bytes,ip_address,user_agent
2024-10-15 08:55:00,admin_5678,/admin/users/export,,200,15673,10.0.1.50,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/118.0
2024-10-15 08:56:30,admin_5678,/admin/download/user_export.csv,,200,245890,10.0.1.50,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/118.0
2024-10-15 09:10:15,2145,/login,,200,3421,98.213.45.122,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1
2024-10-15 09:11:30,2145,/dashboard,,200,8934,98.213.45.122,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1
2024-10-15 09:15:45,3421,/login,,200,3421,172.89.15.67,Mozilla/5.0 (X11; Linux x86_64) Firefox/119.0
2024-10-15 09:16:20,3421,/dashboard,,200,8745,172.89.15.67,Mozilla/5.0 (X11; Linux x86_64) Firefox/119.0
2024-10-15 09:18:30,1523,/login,,200,3421,203.0.113.45,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/118.0
2024-10-15 09:19:15,1523,/dashboard,,200,8934,203.0.113.45,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/118.0
2024-10-15 09:20:30,1523,/dashboard/search,ticker=AAPL' OR 1=1--,403,567,203.0.113.45,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/118.0
2024-10-15 09:21:15,1523,/dashboard/search,ticker=AAPL'; DROP TABLE users--,403,567,203.0.113.45,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/118.0
2024-10-15 09:22:00,1523,/dashboard/search,ticker=AAPL' UNION SELECT * FROM users--,403,567,203.0.113.45,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/118.0
2024-10-15 09:23:45,1523,/dashboard/search,ticker=AAPL' /*!50000OR*/ 1=1--,200,156789,203.0.113.45,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/118.0
2024-10-15 09:24:10,1523,/dashboard/export,format=csv,200,892341,203.0.113.45,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/118.0
2024-10-15 09:30:00,1523,/dashboard/home,200",200,8934,203.0.113.45,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/118.0
2024-10-15 10:15:30,4567,/login,,200,3421,45.123.89.201,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1
2024-10-15 10:16:45,4567,/dashboard,,200,8934,45.123.89.201,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1
2024-10-15 10:18:20,4567,/dashboard/portfolio,,200,12345,45.123.89.201,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Safari/605.1
2024-10-15 11:20:15,7891,/login,,200,3421,172.89.15.67,Mozilla/5.0 (X11; Linux x86_64) Firefox/119.0
2024-10-15 11:21:30,7891,/dashboard,,200,8934,172.89.15.67,Mozilla/5.0 (X11; Linux x86_64) Firefox/119.0
2024-10-15 11:25:45,7891,/dashboard/search,ticker=TSLA,200,5432,172.89.15.67,Mozilla/5.0 (X11; Linux x86_64) Firefox/119.0